Graph Name,8-part,16-part,32-part,64-part,128-part,256-part,512-part,1024-part
wb-edu,892617.4496644295,1138011.6959064328,1473010.3806228372,2634079.929732104,2669390.402075227,1955534.620819595,2091676.0586056996,1572700.2301173038
uk-2002,700934.5794392524,1437000,1876882.430647292,3191437.0811615787,3456162.246489859,2702617.8010471202,2437148.4495724733,2385919.906002154
dblp-2010,1407142.857142857,1346308.7248322146,1588529.411764706,2420051.1508951406,1965965.5831739963,1557388.0284637923,1489282.8035859822,1039662.2923740479
amazon-2008,708256.8807339449,1100429.184549356,1954965.3579676675,2423800.8500303584,2487562.904385334,1963401.8364669872,1923891.4914478702,1760766.1903314076
soc-Pokec,1000000,1361461.7940199336,1821989.5287958116,3193429.342934293,3753105.4233040987,2830320.777319313,2899095.3545232276,3196527.8948255517
citationCiteseer,642718.4466019417,1170464.135021097,1826546.3917525772,2100068.7285223366,2372375,1860103.6269430052,1709875.211831767,1529258.894166144
com-LiveJournal,937500,1115131.5789473683,2166887.417218543,2936236.090953072,3305681.3962124027,2460317.4603174604,2605276.339956587,1943641.0031368344
soc-LiveJournal1,962436.5482233503,1485866.6666666667,1891560.1023017901,2981854.4366899305,3464136.840592209,2758550.9340489213,2679014.499073367,2677712.5733549753
com-Orkut,949253.7313432836,1445733.7883959045,2508124.373119358,3016091.9540229887,2908053.5855003935,2398028.957294075,2209396.853146853,1510074.7519986152
hollywood-2009,753719.0082644628,1140271.4932126696,1607905.138339921,3247127.5559883155,3403778.0055645043,2732331.203808092,2719707.4672825253,2190095.8265035935
circuit5M,1032000,1185227.2727272727,1095327.1028037383,982861.8968386024,937301.9683149303,860914.5815358068,808174.8280048564,758241.7582417582
vas_stokes_2M,482352.94117647054,530693.0693069306,510659.89847715735,692672.4137931034,733894.1465124431,603600.4645760744,540451.2067156348,566101.6949152543
vas_stokes_4M,385365.85365853657,381294.964028777,476595.74468085106,475391.18065433856,453614.03508771927,385127.63596004434,353636.8393511251,432455.0689233991
stokes,384615.3846153846,452808.98876404495,431428.5714285714,439465.8753709199,597115.8179360072,494640.82098061574,429411.76470588235,442848
road_usa,348387.0967741936,331092.4369747899,295067.264573991,321660.6498194946,303162.0553359684,224705.88235294117,198341.83673469388,194620.1038225578
europe_osm,312500,198312.23628691983,321397.3799126638,355778.89447236183,309183.67346938775,253561.25356125354,200337.8378378378,186953.76820772642
nlpkkt120,400000,434408.6021505376,409329.44606413995,412603.64842454396,457490.73583906825,370348.3432455395,332611.2185686654,334961.38593195577
nlpkkt160,432911.39240506326,517821.7821782178,473478.26086956525,440266.6666666667,408860.75949367083,358338.2094792276,324609.9647710116,342824.0357556696
nlpkkt200,458426.96629213484,410778.44311377243,441693.8110749186,438926.1744966443,456835.44303797465,379247.31182795705,323310.3448275862,331246.56781987916
af_shell1,400000,362686.5671641791,323178.8079470199,315613.38289962825,356666.6666666667,266110.8386463953,222391.65329052968,213151.73441157694
Hook_1498,466666.6666666666,447297.2972972973,538636.3636363636,478685.04772004246,467447.78400407534,395825.93250444054,340412.97935103247,339970.05988023954
Geo_1438,350724.6376811594,487640.44943820225,480818.4143222506,446578.631452581,471446.2299134734,385450.81967213115,335692.17160548427,421389.07619689824
Serena,592452.8301886793,534763.948497854,541850.2202643172,514842.9035752979,620849.6965369511,533273.8095238096,439447.73175542406,445263.69687660015
audikw_1,465168.53932584275,463541.6666666666,472771.0843373494,476872.9641693811,506329.11392405065,433838.1652964085,373573.57357357355,440708.30900953495
channel-500x100x100-b050,351724.1379310345,477173.9130434783,419098.1432360743,405681.8181818182,456621.8809980806,392329.66136270907,331305.53656869446,339904.8525214082
Long_Coup_dt0,489108.91089108906,499534.88372093026,514349.7757847533,556565.6565656565,637508.896797153,533273.81,465986.3945578232,469555.06550784793
dielFilterV3clx,514285.7142857143,488000,479069.76744186046,519952.4940617577,538028.1690140845,485700.04982561036,392460.64623032307,518027.32422525826
dielFilterV3real,426229.5081967213,393827.1604938272,561145.1942740286,525207.756232687,519251.55925155926,450017.7619893428,384007.29705077526,409945.5864570738
ML_Geer,365517.2413793103,336134.45378151257,341690.9620991254,348635.63402889244,311723.0527143981,247883.76500315857,200414.72265422498,199782.1943915056
Flan_1565,320833.3333333333,381021.89781021903,364363.6363636364,356097.56097560975,387665.88602654176,320312.5,262272.24008574494,389155.21777258115
Bump_2911,410256.41025641025,410191.0828025478,498097.2515856237,483057.8512396694,494867.63911399245,433653.8461538462,376670.81776670815,383766.37320163194
Cube_Coup_dt0,455263.1578947368,405780.34682080924,536231.8840579711,502731.2775330396,484773.66255144036,428185.4691493246,372830.18867924524,371663.30801426136
Cube_Coup_dt6,458227.8481012658,385340.3141361257,519925.5121042831,525992.7797833935,514386.27364716236,418344.03997144895,369774.10117721924,368589.94137611846
HV15R,532673.2673267326,544032.9218106996,552777.7777777778,616055.5004955401,636263.2305568339,553391.167192429,489507.49464668095,541534.1604053818
Queen_4147,428947.3684210526,537872.3404255318,520641.28256513027,503499.0791896869,490134.7240330291,409576.02339181287,361313.1638236241,394762.46432768175
cage15,859459.4594594594,1729457.3643410853,1988273.092369478,2067103.448275862,2175530.1296720062,1919216.1132280892,1651282.0512820513,1578200.2146251725
kmer_P1a,933333.3333333334,1327380.9523809524,1834728.4060552092,2340880.503144654,3255497.974182606,2725067.500355265,2274202.4313251395,2294499.1102271536
kmer_U1a,652459.0163934426,1259188.5441527446,1899783.5497835497,2089890.9811694748,3213119.6679732534,2537131.367292225,2174442.943956786,2338746.895280827
kmer_V2a,841958.041958042,1061300.3095975232,2157032.7552986513,2437293.868921776,3188373.5571878282,2436380.2004251443,2614059.1083653364,2234347.7907071365
delaunay_n23,388405.7971014493,340740.74074074073,309236.9477911647,300157.9778830964,296418.73278236913,237368.78936319103,193175.56411667584,207972.19003476246
hugebubbles-00000,281355.9322033898,365714.28571428574,331687.24279835395,338508.3713850837,311886.94929343305,249737.53280839894,191226.3210368893,196807.5117370892
hugebubbles-00010,325000,350746.2686567164,318897.63779527554,346391.75257731957,320583.4683954619,248330.05893909626,197726.0981912145,198291.67984814933
hugebubbles-00020,322807.01754385966,412213.7404580153,338289.9628252788,286355.14018691593,325116.27906976745,252757.793764988,201032.3791647114,201591.043017089
rgg_n_2_22_s0,318644.0677966102,367785.23489932885,340959.4095940959,279553.9033457249,343428.1322059954,263877.43076016504,207910.15624999997,206920.02268859898
delaunay_n24,373076.9230769231,398611.11111111107,312000,285561.4973262032,325796.6616084977,260419.23551171395,203838.58267716534,197097.24238026125
rgg_n_2_23_s0,209259.25925925927,314049.58677685953,367491.1660777385,301672.2408026756,328459.53002610966,275027.62430939224,193358.39598997496,211278.1954887218
rgg_n_2_24_s0,400000,364516.12903225806,310204.0816326531,316326.5306122449,299832.49581239535,248425.4723582925,195621.23700054732,211346.316680779
kron_g500-logn20,1157281.553398058,1579012.3456790124,2439159.5033428846,3022874.671340929,3663789.3356643356,3276969.468526197,2329079.4979079496,1674006.14862716
kron_g500-logn21,798165.1376146788,2064739.8843930636,2324942.791762014,2770415.8145875935,3765857.768790024,3498537.234042553,2311558.9804386487,2008813.1731565865
