Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
af_shell1,17326592.29208925,43581683.67346939,185695869.5652174,12918755.009754842,12886228.104978435,28473366.666666668,173301075.26881722,311093670.33287203
Hook_1498,10539095.77864491,48308473.17073171,153936326.42487046,8241868.600422223,26270159.072621647,46421423.4375,375454454.694806,707930302.3804418
Geo_1438,11341185.226019846,49934247.57281554,143531930.23255813,8232764.462324857,33031057.968237724,50589122.95081967,393112929.93630576,827173586.7263516
Serena,9859517.801374141,49638641.50943396,136667428.57142857,5339131.1994967,31163184.806428052,49952810.12658228,410695668.0109276,804581681.0234976
audikw_1,15980865.0,43833229.71428572,74618824.90272373,4547570.835561426,65153116.48512935,9588519.0,553449870.1298702,1016729210.2961059
channel-500x100x100-b050,8332950.409996095,38521093.86281589,230710118.9189189,16144009.925145341,30274126.66775427,37838095.74468085,381936214.76510066,697328279.4451615
Long_Coup_dt0,14054307.288246881,60550806.223479494,150208491.22807017,6862947.596573128,48728078.61251148,65962126.348228045,534249594.40908515,1033644485.2231022
dielFilterV3clx,5350329.597890574,17069295.47844374,29730586.08058608,2375759.580372092,19902454.933222827,23356690.647482015,210352468.57587144,384966917.2575711
dielFilterV3real,14535793.671720501,46373920.08412198,80772157.50915751,6454471.718437167,54071057.33899118,63455536.69064748,571486302.9674743,1045879431.7831479
ML_Geer,14521504.248539565,86394921.01105845,387858049.6453901,18446691.85232658,57131081.435422994,81868241.01796407,644373571.3444091,1271843182.3995907
Flan_1565,10722070.529433543,76412434.03693931,199039948.45360824,13881416.071304461,81210723.56964388,78271114.86486487,671777139.874739,1303901870.7368138
Bump_2911,8296894.442967296,66890932.475884244,175306853.93258426,10785075.251052858,43784589.26454184,64739875.5186722,287269228.9988493,1138709288.9594395
Cube_Coup_dt0,9435661.334138243,67516946.00431965,181219397.10144928,13199403.79552551,53381738.38797814,72952966.16102684,660267103.178794,1305833409.916872
Cube_Coup_dt6,10320351.931330472,69390335.18312986,182809040.93567252,13309297.671963077,53759505.40426666,77858894.14694895,606702493.934983,1312935844.935845
HV15R,10492281.82758175,69861260.32702237,205515910.12658226,9551231.80732531,178707716.7094657,3125988.081943856,1226728893.086513,1877052915.7417686
Queen_4147,9220954.937081963,81501045.59118237,192061495.8677686,16959735.505999856,98943567.11452256,97178068.69772999,1071153532.6265885,1908962847.7885869
