Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
kron_g500-logn20,418973.3231922026,2341242.6277678665,956410.1343965018,0.0,889873.2581724047,18560483.36106489,25190627.06419688,69151636.60033476
kron_g500-logn21,407298.2409047798,2497830.66286216,0.0,0.0,479821.9238005892,23397823.695708044,27426263.149649944,73717353.84615384
mycielskian18,1990724.439034716,4515407.256249437,0.0,289380.32261941966,103382424.55889627,2635747.473155009,183259342.8007697,170981245.88077545
mycielskian17,0.0,0.0,676769.0718587129,353581.79285046645,0.0,2452675.229986299,196214018.3989039,135178594.3525985
delaunay_n23,4066211.665858782,22529797.672336616,36366739.884393066,13328417.005185025,9982144.160439176,22590470.377019748,198781864.13902053,147452885.68582645
hugebubbles-00000,1879967.218724336,12000909.130624726,22758973.487986743,9768668.164975142,3873963.4322622498,11630008.890770534,184177546.0945357,160822440.1381652
hugebubbles-00010,1957979.1988190296,9620759.643916914,19809751.527494907,8588826.194071367,6574284.381780222,10599260.443152923,193474101.5780401,133058659.37072502
hugebubbles-00020,1665017.49332216,9601382.965871338,21039165.45334216,8882320.119361617,6900752.370967076,10718199.258260284,200391950.3277862,135456044.14333802
rgg_n_2_22_s0,7877321.743642968,38380781.28950696,266308754.3859649,40583907.70793787,7341101.339375312,35097338.7283237,302593421.7083624,273752912.53381425
delaunay_n24,4058345.508788905,24024630.54892601,33984875.75962187,14366296.365011632,10905545.552442675,26644574.37797777,274585930.1691216,185622721.74073392
rgg_n_2_23_s0,7683169.147005444,37820960.69088744,273712900.8620689,51801505.06583134,22979193.610838704,47853348.15373022,432659215.0984533,383023059.2918753
rgg_n_2_24_s0,5695016.32582918,39699670.56004792,269973930.7535642,68768001.66009545,23422938.213097405,57809507.19581334,552920664.0527238,477649178.4375901
cage15,2399466.5510027045,14353585.47008547,39883245.12298558,1556076.0380878758,19915693.30854231,32273401.50995196,305717092.51674145,323823056.26334274
kmer_A2a,221581.9438316449,2911937.107324558,7828936.8187936945,1284922.2885813247,3742606.5638428167,8285124.121134139,124266011.88260756,105708732.61568049
kmer_P1a,329740.2687699424,3259460.9407490096,7462540.315710348,812196.4019340219,3469222.59030952,8209205.733186329,112734960.9744658,104360404.504776
kmer_U1a,535051.9404412161,5287205.196586407,10235916.949402569,3340761.223851135,5373806.853823815,7525136.2108231215,143868634.2808567,112340377.54788156
kmer_V2a,647482.2687200336,5428248.587570622,10343946.346629016,3235404.3620613604,4622837.806926905,7193028.964162985,145064105.73733974,93859680.02818573
af_shell1,17326592.29208925,43581683.67346939,185695869.5652174,12918755.009754842,12886228.104978437,28473366.666666668,173301075.26881722,183817731.87002367
Hook_1498,10539095.77864491,48308473.17073171,153936326.42487046,8241868.600422223,26270159.072621647,46421423.4375,375454454.694806,380552209.5555272
Geo_1438,11341185.226019846,49934247.57281554,143531930.23255813,8232764.462324857,33031057.968237724,50589122.95081967,393112929.93630576,413830830.09253055
Serena,9859517.80137414,49638641.50943396,136667428.57142857,5339131.1994967,31163184.80642805,49952810.12658228,410695668.0109276,476099773.78977525
audikw_1,15980865.0,43833229.71428572,74618824.90272373,4547570.835561426,65153116.48512935,9588519.0,553449870.1298702,570320832.7137547
channel-500x100x100-b050,8332950.409996095,38521093.86281589,230710118.9189189,16144009.92514534,30274126.66775427,37838095.74468085,381936214.7651007,348106777.5874725
Long_Coup_dt0,14054307.28824688,60550806.22347949,150208491.22807017,6862947.596573128,48728078.61251148,65962126.348228045,534249594.4090852,615254670.8824375
