Graph Name,8-part,32-part,128-part,512-part
Bump_2911,146.17,147.14,140.96,146.05
Cube_Coup_dt0,37.11,36.11000000000001,35.42,35.24
Cube_Coup_dt6,37.49,36.03,35.24,35.15
Flan_1565,33.349999999999994,32.53,31.62,31.65
Geo_1438,24.94,24.32,23.380000000000003,23.49
HV15R,68.16999999999999,67.25,66.05999999999999,66.58
Hook_1498,25.84,26.92,23.59,23.89
Long_Coup_dt0,28.69,27.97,28.37,26.64
ML_Geer,30.74,29.53,28.71,28.87
Queen_4147,75.39,75.39999999999999,73.66,73.62
Serena,25.8,24.74,24.02,23.81
af_shell1,12.83,11.33,10.32,10.19
amazon-2008,26.66,25.81,23.16,23.130000000000003
audikw_1,25.17,24.44,23.57,25.24
cage15,63.12,61.54,60.57,63.46
channel-500x100x100-b050,39.6,38.120000000000005,36.19,36.18
circuit5M,2114.3900000000003,1961.65,1960.55,1974.78
citationCiteseer,26.12,23.53,20.76,21.59
com-LiveJournal,160.62,153.78,152.19,155.38
com-Orkut,208.54,206.95,204.79,205.54
dblp-2010,57.85,47.63,50.43,36.58
delaunay_n23,33.51,32.27,30.9,30.6
delaunay_n24,55.54,54.67,52.64,52.75
dielFilterV3clx,15.22,14.4,13.63,13.55
dielFilterV3real,27.380000000000003,26.52,25.55,25.45
europe_osm,74.71,73.64,72.55,75.27000000000001
hollywood-2009,132.27,127.66,125.71,109.43
hugebubbles-00000,41.79,38.65,36.74,36.32
hugebubbles-00010,42.6,40.45,39,38.99
hugebubbles-00020,45.18,43.5,41.66,41.54
kmer_A2a,337.14,333.79,326.19,331.52
kmer_P1a,296.08,296.64,285.74,284.14
kmer_U1a,152.73000000000002,135.97,141.59,142.73
kmer_V2a,112.46,112.57,108.88,109.79
kron_g500-logn20,1472.57,874.89,1169.09,1153.66
kron_g500-logn21,2769.11,3603.94,2860.19,3415.3
mycielskian18,334.09,324.1,327.64,320.62
mycielskian19,1117.12,1134.72,1118.6,1227.29
nlpkkt120,51.45,50.29,48.23,48.24
nlpkkt160,104.64,102.47,101.04,101.23
nlpkkt200,196.37,186.82,185.56,185.48
rgg_n_2_22_s0,32.28,30.99,31.91,28.96
rgg_n_2_23_s0,52.58,50.86,49.5,49.6
rgg_n_2_24_s0,92.28,91.19,89.22,89.75
road_usa,59.53,60.43,56.61,58.71
soc-LiveJournal1,189.48,179.53,188.3,177.14
soc-Pokec,108.34,103.73,89.92,90.03999999999999
stokes,621.81,598.49,525.8399999999999,547.1899999999999
uk-2002,341.25,354.95,339.3,357.9
vas_stokes_2M,46.5,40.87,39.24,39.16
vas_stokes_4M,117.13,117.6,116.91,117.79
wb-edu,2328.3900000000003,2273.83,2127.94,2118.99
